puzzle_id,delta_cp_12,best_cp_12,move_cp_12,delta_cp_20,best_cp_20,move_cp_20,delta_diff,delta_abs_diff
WWNuA,,615,,,710,,,
QwfQg,763.0,169,-594.0,789.0,199,-590.0,26.0,26.0
qddOZ,3.0,20,17.0,5.0,5,0.0,2.0,2.0
LQ1DK,501.0,209,-292.0,1221.0,549,-672.0,720.0,720.0
ki2l1,,4,,,2,,,
TbN5O,2.0,15,13.0,-12.0,5,17.0,-14.0,14.0
vJaUr,,145,,,10,,,
ayVZn,498.0,-10,-508.0,1067.0,-6,-1073.0,569.0,569.0
ON7OP,163.0,0,-163.0,520.0,0,-520.0,357.0,357.0
Twkjy,,774,,,1456,,,
6uPrP,530.0,-10,-540.0,4146.0,-8,-4154.0,3616.0,3616.0
ELuQg,416.0,0,-416.0,797.0,0,-797.0,381.0,381.0
dtp9f,122.0,165,43.0,182.0,206,24.0,60.0,60.0
PfZob,29.0,96,67.0,85.0,118,33.0,56.0,56.0
kIjcJ,708.0,33,-675.0,808.0,34,-774.0,100.0,100.0
vOyHq,,0,,,10,,,
apctn,,160,,,319,,,
gYZU2,,0,,,0,,,
ZHIgj,814.0,-30,-844.0,99967.0,-24,-99991.0,99153.0,99153.0
HbVvI,856.0,260,-596.0,997.0,301,-696.0,141.0,141.0
4cNfD,99972.0,-27,-99999.0,99988.0,-11,-99999.0,16.0,16.0
wjcCS,593.0,-60,-653.0,1273.0,0,-1273.0,680.0,680.0
Sgwr0,,154,,,224,,,
Lphsj,,0,,,11,,,
NT8FO,,110,,,41,,,
r255J,190.0,-333,-523.0,99679.0,-315,-99994.0,99489.0,99489.0
qEHyk,,291,,,470,,,
mej8x,864.0,136,-728.0,1067.0,164,-903.0,203.0,203.0
HpXMS,,-34,,,-25,,,
rcpNA,649.0,0,-649.0,513.0,0,-513.0,-136.0,136.0
sHnnl,678.0,-2,-680.0,765.0,0,-765.0,87.0,87.0
8bo4k,,-99999,,,-99999,,,
tlhqi,,-2,,,-3,,,
9tJ4L,,-10,,,0,,,
MndOq,,-73,,,-4,,,
OeJ01,372.0,90,-282.0,734.0,91,-643.0,362.0,362.0
ZLmLu,0.0,0,0.0,0.0,0,0.0,0.0,0.0
M3sHr,847.0,181,-666.0,1338.0,197,-1141.0,491.0,491.0
2Igqe,540.0,0,-540.0,816.0,0,-816.0,276.0,276.0
6AH2V,341.0,425,84.0,364.0,443,79.0,23.0,23.0
oX4Em,,7,,,0,,,
OtykF,,-1,,,0,,,
SNOtd,80.0,-14,-94.0,347.0,-5,-352.0,267.0,267.0
ZZfl0,352.0,-2,-354.0,454.0,0,-454.0,102.0,102.0
WkWg7,151.0,342,191.0,112.0,485,373.0,-39.0,39.0
ONtMr,,-7,,,-6,,,
PB5dV,,-60,,,-39,,,
6Gpig,0.0,3,3.0,9.0,9,0.0,9.0,9.0
Ap4wd,99514.0,-485,-99999.0,99237.0,-762,-99999.0,-277.0,277.0
MAncS,,-184,,,-273,,,
